productId,storeId,productType,weight
0,FDU33,1,Snack Foods,7.63
1,FDY15,1,Dairy,18.25
2,NCP43,1,Others,17.75
3,FDD08,1,Fruits and Vegetables,8.3
4,FDY59,1,Baking Goods,8.195
5,NCP29,1,Health and Hygiene,8.42
6,FDU35,1,Breads,6.44
7,DRP47,1,Hard Drinks,
8,FDF33,1,Seafood,7.97
9,DRB01,1,Soft Drinks,7.39
10,NCX18,1,Household,
11,FDU16,1,Frozen Foods,19.25
12,FDY39,1,Meat,5.305
13,FDM14,1,Canned,13.8
14,FDC59,1,Starchy Foods,
15,FDQ49,1,Breakfast,20.2
16,FDU33,2,Snack Foods,7.63
17,FDY15,2,Dairy,18.25
18,NCP43,2,Others,17.75
19,FDD08,2,Fruits and Vegetables,8.3
20,FDY59,2,Baking Goods,8.195
21,NCP29,2,Health and Hygiene,8.42
22,FDU35,2,Breads,6.44
23,DRP47,2,Hard Drinks,
24,FDF33,2,Seafood,7.97
25,DRB01,2,Soft Drinks,7.39
26,NCX18,2,Household,
27,FDU16,2,Frozen Foods,19.25
28,FDY39,2,Meat,5.305
29,FDM14,2,Canned,13.8
30,FDC59,2,Starchy Foods,
31,FDQ49,2,Breakfast,20.2
32,FDU33,3,Snack Foods,7.63
33,FDY15,3,Dairy,18.25
34,NCP43,3,Others,17.75
35,FDD08,3,Fruits and Vegetables,8.3
36,FDY59,3,Baking Goods,8.195
37,NCP29,3,Health and Hygiene,8.42
38,FDU35,3,Breads,6.44
39,DRP47,3,Hard Drinks,
40,FDF33,3,Seafood,7.97
41,DRB01,3,Soft Drinks,7.39
42,NCX18,3,Household,
43,FDU16,3,Frozen Foods,19.25
44,FDY39,3,Meat,5.305
45,FDM14,3,Canned,13.8
46,FDC59,3,Starchy Foods,
47,FDQ49,3,Breakfast,20.2
48,FDU33,4,Snack Foods,7.63
49,FDY15,4,Dairy,18.25
50,NCP43,4,Others,17.75
51,FDD08,4,Fruits and Vegetables,8.3
52,FDY59,4,Baking Goods,8.195
53,NCP29,4,Health and Hygiene,8.42
54,FDU35,4,Breads,6.44
55,DRP47,4,Hard Drinks,
56,FDF33,4,Seafood,7.97
57,DRB01,4,Soft Drinks,7.39
58,NCX18,4,Household,
59,FDU16,4,Frozen Foods,19.25
60,FDY39,4,Meat,5.305
61,FDM14,4,Canned,13.8
62,FDC59,4,Starchy Foods,
63,FDQ49,4,Breakfast,20.2
64,FDU33,5,Snack Foods,7.63
65,FDY15,5,Dairy,18.25
66,NCP43,5,Others,17.75
67,FDD08,5,Fruits and Vegetables,8.3
68,FDY59,5,Baking Goods,8.195
69,NCP29,5,Health and Hygiene,8.42
70,FDU35,5,Breads,6.44
71,DRP47,5,Hard Drinks,
72,FDF33,5,Seafood,7.97
73,DRB01,5,Soft Drinks,7.39
74,NCX18,5,Household,
75,FDU16,5,Frozen Foods,19.25
76,FDY39,5,Meat,5.305
77,FDM14,5,Canned,13.8
78,FDC59,5,Starchy Foods,
79,FDQ49,5,Breakfast,20.2
80,FDU33,6,Snack Foods,7.63
81,FDY15,6,Dairy,18.25
82,NCP43,6,Others,17.75
83,FDD08,6,Fruits and Vegetables,8.3
84,FDY59,6,Baking Goods,8.195
85,NCP29,6,Health and Hygiene,8.42
86,FDU35,6,Breads,6.44
87,DRP47,6,Hard Drinks,
88,FDF33,6,Seafood,7.97
89,DRB01,6,Soft Drinks,7.39
90,NCX18,6,Household,
91,FDU16,6,Frozen Foods,19.25
92,FDY39,6,Meat,5.305
93,FDM14,6,Canned,13.8
94,FDC59,6,Starchy Foods,
95,FDQ49,6,Breakfast,20.2
96,FDU33,7,Snack Foods,7.63
97,FDY15,7,Dairy,18.25
98,NCP43,7,Others,17.75
99,FDD08,7,Fruits and Vegetables,8.3
100,FDY59,7,Baking Goods,8.195
101,NCP29,7,Health and Hygiene,8.42
102,FDU35,7,Breads,6.44
103,DRP47,7,Hard Drinks,
104,FDF33,7,Seafood,7.97
105,DRB01,7,Soft Drinks,7.39
106,NCX18,7,Household,
107,FDU16,7,Frozen Foods,19.25
108,FDY39,7,Meat,5.305
109,FDM14,7,Canned,13.8
110,FDC59,7,Starchy Foods,
111,FDQ49,7,Breakfast,20.2
112,FDU33,8,Snack Foods,7.63
113,FDY15,8,Dairy,18.25
114,NCP43,8,Others,17.75
115,FDD08,8,Fruits and Vegetables,8.3
116,FDY59,8,Baking Goods,8.195
117,NCP29,8,Health and Hygiene,8.42
118,FDU35,8,Breads,6.44
119,DRP47,8,Hard Drinks,
120,FDF33,8,Seafood,7.97
121,DRB01,8,Soft Drinks,7.39
122,NCX18,8,Household,
123,FDU16,8,Frozen Foods,19.25
124,FDY39,8,Meat,5.305
125,FDM14,8,Canned,13.8
126,FDC59,8,Starchy Foods,
127,FDQ49,8,Breakfast,20.2
128,FDU33,9,Snack Foods,7.63
129,FDY15,9,Dairy,18.25
130,NCP43,9,Others,17.75
131,FDD08,9,Fruits and Vegetables,8.3
132,FDY59,9,Baking Goods,8.195
133,NCP29,9,Health and Hygiene,8.42
134,FDU35,9,Breads,6.44
135,DRP47,9,Hard Drinks,
136,FDF33,9,Seafood,7.97
137,DRB01,9,Soft Drinks,7.39
138,NCX18,9,Household,
139,FDU16,9,Frozen Foods,19.25
140,FDY39,9,Meat,5.305
141,FDM14,9,Canned,13.8
142,FDC59,9,Starchy Foods,
143,FDQ49,9,Breakfast,20.2
144,FDU33,10,Snack Foods,7.63
145,FDY15,10,Dairy,18.25
146,NCP43,10,Others,17.75
147,FDD08,10,Fruits and Vegetables,8.3
148,FDY59,10,Baking Goods,8.195
149,NCP29,10,Health and Hygiene,8.42
150,FDU35,10,Breads,6.44
151,DRP47,10,Hard Drinks,
152,FDF33,10,Seafood,7.97
153,DRB01,10,Soft Drinks,7.39
154,NCX18,10,Household,
155,FDU16,10,Frozen Foods,19.25
156,FDY39,10,Meat,5.305
157,FDM14,10,Canned,13.8
158,FDC59,10,Starchy Foods,
159,FDQ49,10,Breakfast,20.2
160,FDU33,11,Snack Foods,7.63
161,FDY15,11,Dairy,18.25
162,NCP43,11,Others,17.75
163,FDD08,11,Fruits and Vegetables,8.3
164,FDY59,11,Baking Goods,8.195
165,NCP29,11,Health and Hygiene,8.42
166,FDU35,11,Breads,6.44
167,DRP47,11,Hard Drinks,
168,FDF33,11,Seafood,7.97
169,DRB01,11,Soft Drinks,7.39
170,NCX18,11,Household,
171,FDU16,11,Frozen Foods,19.25
172,FDY39,11,Meat,5.305
173,FDM14,11,Canned,13.8
174,FDC59,11,Starchy Foods,
175,FDQ49,11,Breakfast,20.2
176,FDU33,12,Snack Foods,7.63
177,FDY15,12,Dairy,18.25
178,NCP43,12,Others,17.75
179,FDD08,12,Fruits and Vegetables,8.3
180,FDY59,12,Baking Goods,8.195
181,NCP29,12,Health and Hygiene,8.42
182,FDU35,12,Breads,6.44
183,DRP47,12,Hard Drinks,
184,FDF33,12,Seafood,7.97
185,DRB01,12,Soft Drinks,7.39
186,NCX18,12,Household,
187,FDU16,12,Frozen Foods,19.25
188,FDY39,12,Meat,5.305
189,FDM14,12,Canned,13.8
190,FDC59,12,Starchy Foods,
191,FDQ49,12,Breakfast,20.2
192,FDU33,13,Snack Foods,7.63
193,FDY15,13,Dairy,18.25
194,NCP43,13,Others,17.75
195,FDD08,13,Fruits and Vegetables,8.3
196,FDY59,13,Baking Goods,8.195
197,NCP29,13,Health and Hygiene,8.42
198,FDU35,13,Breads,6.44
199,DRP47,13,Hard Drinks,
200,FDF33,13,Seafood,7.97
201,DRB01,13,Soft Drinks,7.39
202,NCX18,13,Household,
203,FDU16,13,Frozen Foods,19.25
204,FDY39,13,Meat,5.305
205,FDM14,13,Canned,13.8
206,FDC59,13,Starchy Foods,
207,FDQ49,13,Breakfast,20.2
208,FDU33,14,Snack Foods,7.63
209,FDY15,14,Dairy,18.25
210,NCP43,14,Others,17.75
211,FDD08,14,Fruits and Vegetables,8.3
212,FDY59,14,Baking Goods,8.195
213,NCP29,14,Health and Hygiene,8.42
214,FDU35,14,Breads,6.44
215,DRP47,14,Hard Drinks,
216,FDF33,14,Seafood,7.97
217,DRB01,14,Soft Drinks,7.39
218,NCX18,14,Household,
219,FDU16,14,Frozen Foods,19.25
220,FDY39,14,Meat,5.305
221,FDM14,14,Canned,13.8
222,FDC59,14,Starchy Foods,
223,FDQ49,14,Breakfast,20.2
224,FDU33,15,Snack Foods,7.63
225,FDY15,15,Dairy,18.25
226,NCP43,15,Others,17.75
227,FDD08,15,Fruits and Vegetables,8.3
228,FDY59,15,Baking Goods,8.195
229,NCP29,15,Health and Hygiene,8.42
230,FDU35,15,Breads,6.44
231,DRP47,15,Hard Drinks,
232,FDF33,15,Seafood,7.97
233,DRB01,15,Soft Drinks,7.39
234,NCX18,15,Household,
235,FDU16,15,Frozen Foods,19.25
236,FDY39,15,Meat,5.305
237,FDM14,15,Canned,13.8
238,FDC59,15,Starchy Foods,
239,FDQ49,15,Breakfast,20.2
240,FDU33,16,Snack Foods,7.63
241,FDY15,16,Dairy,18.25
242,NCP43,16,Others,17.75
243,FDD08,16,Fruits and Vegetables,8.3
244,FDY59,16,Baking Goods,8.195
245,NCP29,16,Health and Hygiene,8.42
246,FDU35,16,Breads,6.44
247,DRP47,16,Hard Drinks,
248,FDF33,16,Seafood,7.97
249,DRB01,16,Soft Drinks,7.39
250,NCX18,16,Household,
251,FDU16,16,Frozen Foods,19.25
252,FDY39,16,Meat,5.305
253,FDM14,16,Canned,13.8
254,FDC59,16,Starchy Foods,
255,FDQ49,16,Breakfast,20.2
256,FDU33,17,Snack Foods,7.63
257,FDY15,17,Dairy,18.25
258,NCP43,17,Others,17.75
259,FDD08,17,Fruits and Vegetables,8.3
260,FDY59,17,Baking Goods,8.195
261,NCP29,17,Health and Hygiene,8.42
262,FDU35,17,Breads,6.44
263,DRP47,17,Hard Drinks,
264,FDF33,17,Seafood,7.97
265,DRB01,17,Soft Drinks,7.39
266,NCX18,17,Household,
267,FDU16,17,Frozen Foods,19.25
268,FDY39,17,Meat,5.305
269,FDM14,17,Canned,13.8
270,FDC59,17,Starchy Foods,
271,FDQ49,17,Breakfast,20.2
272,FDU33,18,Snack Foods,7.63
273,FDY15,18,Dairy,18.25
274,NCP43,18,Others,17.75
275,FDD08,18,Fruits and Vegetables,8.3
276,FDY59,18,Baking Goods,8.195
277,NCP29,18,Health and Hygiene,8.42
278,FDU35,18,Breads,6.44
279,DRP47,18,Hard Drinks,
280,FDF33,18,Seafood,7.97
281,DRB01,18,Soft Drinks,7.39
282,NCX18,18,Household,
283,FDU16,18,Frozen Foods,19.25
284,FDY39,18,Meat,5.305
285,FDM14,18,Canned,13.8
286,FDC59,18,Starchy Foods,
287,FDQ49,18,Breakfast,20.2
288,FDU33,19,Snack Foods,7.63
289,FDY15,19,Dairy,18.25
290,NCP43,19,Others,17.75
291,FDD08,19,Fruits and Vegetables,8.3
292,FDY59,19,Baking Goods,8.195
293,NCP29,19,Health and Hygiene,8.42
294,FDU35,19,Breads,6.44
295,DRP47,19,Hard Drinks,
296,FDF33,19,Seafood,7.97
297,DRB01,19,Soft Drinks,7.39
298,NCX18,19,Household,
299,FDU16,19,Frozen Foods,19.25
300,FDY39,19,Meat,5.305
301,FDM14,19,Canned,13.8
302,FDC59,19,Starchy Foods,
303,FDQ49,19,Breakfast,20.2
304,FDU33,20,Snack Foods,7.63
305,FDY15,20,Dairy,18.25
306,NCP43,20,Others,17.75
307,FDD08,20,Fruits and Vegetables,8.3
308,FDY59,20,Baking Goods,8.195
309,NCP29,20,Health and Hygiene,8.42
310,FDU35,20,Breads,6.44
311,DRP47,20,Hard Drinks,
312,FDF33,20,Seafood,7.97
313,DRB01,20,Soft Drinks,7.39
314,NCX18,20,Household,
315,FDU16,20,Frozen Foods,19.25
316,FDY39,20,Meat,5.305
317,FDM14,20,Canned,13.8
318,FDC59,20,Starchy Foods,
319,FDQ49,20,Breakfast,20.2
320,FDU33,21,Snack Foods,7.63
321,FDY15,21,Dairy,18.25
322,NCP43,21,Others,17.75
323,FDD08,21,Fruits and Vegetables,8.3
324,FDY59,21,Baking Goods,8.195
325,NCP29,21,Health and Hygiene,8.42
326,FDU35,21,Breads,6.44
327,DRP47,21,Hard Drinks,
328,FDF33,21,Seafood,7.97
329,DRB01,21,Soft Drinks,7.39
330,NCX18,21,Household,
331,FDU16,21,Frozen Foods,19.25
332,FDY39,21,Meat,5.305
333,FDM14,21,Canned,13.8
334,FDC59,21,Starchy Foods,
335,FDQ49,21,Breakfast,20.2
336,FDU33,22,Snack Foods,7.63
337,FDY15,22,Dairy,18.25
338,NCP43,22,Others,17.75
339,FDD08,22,Fruits and Vegetables,8.3
340,FDY59,22,Baking Goods,8.195
341,NCP29,22,Health and Hygiene,8.42
342,FDU35,22,Breads,6.44
343,DRP47,22,Hard Drinks,
344,FDF33,22,Seafood,7.97
345,DRB01,22,Soft Drinks,7.39
346,NCX18,22,Household,
347,FDU16,22,Frozen Foods,19.25
348,FDY39,22,Meat,5.305
349,FDM14,22,Canned,13.8
350,FDC59,22,Starchy Foods,
351,FDQ49,22,Breakfast,20.2
352,FDU33,23,Snack Foods,7.63
353,FDY15,23,Dairy,18.25
354,NCP43,23,Others,17.75
355,FDD08,23,Fruits and Vegetables,8.3
356,FDY59,23,Baking Goods,8.195
357,NCP29,23,Health and Hygiene,8.42
358,FDU35,23,Breads,6.44
359,DRP47,23,Hard Drinks,
360,FDF33,23,Seafood,7.97
361,DRB01,23,Soft Drinks,7.39
362,NCX18,23,Household,
363,FDU16,23,Frozen Foods,19.25
364,FDY39,23,Meat,5.305
365,FDM14,23,Canned,13.8
366,FDC59,23,Starchy Foods,
367,FDQ49,23,Breakfast,20.2
368,FDU33,24,Snack Foods,7.63
369,FDY15,24,Dairy,18.25
370,NCP43,24,Others,17.75
371,FDD08,24,Fruits and Vegetables,8.3
372,FDY59,24,Baking Goods,8.195
373,NCP29,24,Health and Hygiene,8.42
374,FDU35,24,Breads,6.44
375,DRP47,24,Hard Drinks,
376,FDF33,24,Seafood,7.97
377,DRB01,24,Soft Drinks,7.39
378,NCX18,24,Household,
379,FDU16,24,Frozen Foods,19.25
380,FDY39,24,Meat,5.305
381,FDM14,24,Canned,13.8
382,FDC59,24,Starchy Foods,
383,FDQ49,24,Breakfast,20.2
384,FDU33,25,Snack Foods,7.63
385,FDY15,25,Dairy,18.25
386,NCP43,25,Others,17.75
